叶型库8-PCA5维优化结果    叶型库8-KPCA5维优化结果
5.029687604309066029e-02    4.995941175185512895e-02
1.680708963610850759e-01    1.668497303515886487e-01
5.019144511739578873e-02    4.985520834918538702e-02
1.687473399895564052e-01    1.675210553149945325e-01
5.008538434281899210e-02    4.974975984483610836e-02
1.694015156420271839e-01    1.681703314013644757e-01
4.997946780072591577e-02    4.964391032128761400e-02
1.700332568804168720e-01    1.687973991529557183e-01
4.987446054513887395e-02    4.953850752193413032e-02
1.706424183775366865e-01    1.694021116216621603e-01
4.977110821708202737e-02    4.943438953650940160e-02
1.712288756757711639e-01    1.699843407373800852e-01
4.967013037147045840e-02    4.933237467544831362e-02
1.717925124719434093e-01    1.705439623383286640e-01
4.957221449287546600e-02    4.923325198715436390e-02
1.723332525650036473e-01    1.710808873414790821e-01
4.947800307164398892e-02    4.913776480770837285e-02
1.728510451811656190e-01    1.715950517300514622e-01
4.938808778064802951e-02    4.904660148131341491e-02
1.733458475874619098e-01    1.720863977149476864e-01
4.930301130233052942e-02    4.896039485053566703e-02
1.738176657945524617e-01    1.725549164783838629e-01
4.922325091192221447e-02    4.887970292929293137e-02
1.742665022094535554e-01    1.730005956899375308e-01
4.914922833108789635e-02    4.880501640784516704e-02
1.743492618380869386e-01    1.730827498751894011e-01
4.913224986156691787e-02    4.878800419839108421e-02
1.744302927706366524e-01    1.731631469519536726e-01
4.910849394803855350e-02    4.876433877609468587e-02
1.745090065560481185e-01    1.732412046995354948e-01
4.907812183848569987e-02    4.873417481966780401e-02
1.745848527081662882e-01    1.733163808932115246e-01
4.904133266965635118e-02    4.869770176680796037e-02
1.746573179385189356e-01    1.733881684768741605e-01
4.899836667102358545e-02    4.865514833564504177e-02
1.747258644100261049e-01    1.734560381763269321e-01
4.894951328499895504e-02    4.860678991958777839e-02
1.747900242481662814e-01    1.735195329772881989e-01
4.889509419746657093e-02    4.855293353801297396e-02
1.748493545660545767e-01    1.735782157220708277e-01
4.883547321351179582e-02    4.849392658335830580e-02
1.749034113633910759e-01    1.736316519918728041e-01
4.877105340072884765e-02    4.843015588225834528e-02
1.749518349722304078e-01    1.736794916205062767e-01
4.870226726141752005e-02    4.836203756487800209e-02
1.749942848733332390e-01    1.737213993794839706e-01
4.862958345748395750e-02    4.829002512958081861e-02
1.750304588802635009e-01    1.737570815127734702e-01
4.855349856338107839e-02    4.821460115307549948e-02
1.750600926318919837e-01    1.737862786776039337e-01
4.847454029328496228e-02    4.813628063255988992e-02
1.750829814413348562e-01    1.738087929286458444e-01
4.839325376388710354e-02    4.805559846408579555e-02
1.750989737039581051e-01    1.738244760722780224e-01
4.831020561197896246e-02    4.797311265571026218e-02
1.751079530750052349e-01    1.738332137289393120e-01
4.822598126365161553e-02    4.788940297458264828e-02
1.751098500027228333e-01    1.738349390254219917e-01
4.814117554851629621e-02    4.780506059644642342e-02
1.750923953541340394e-01    1.738173540649797233e-01
4.797223239126915950e-02    4.763688708296205665e-02
2.059984127722458425e-17    2.799822923231054569e-19
-2.428612866367529932e-17    3.458131297161188206e-18
2.288556827069069882e-04    2.160431932134167471e-04
-6.758612978914266267e-05    -1.107584674486687746e-04
4.479622899853786915e-04    4.215983991781340943e-04
-2.654810367152052319e-05    -1.181915854780251588e-04
6.644777090988796724e-04    6.247699097352861887e-04
5.639900938942364605e-05    -8.372166394990019321e-05
8.587723900391091344e-04    8.074500895688727477e-04
1.543144972422135636e-04    -2.826108676197180945e-05
1.026301370627397125e-03    9.653571555655995938e-04
2.528777227305979008e-04    3.505106898173024718e-05
1.381816757739217846e-03    1.302037360324294520e-03
4.875216733311697748e-04    2.008707273308049787e-04
2.802023880458935634e-03    2.672050970328438291e-03
1.366925111346187216e-03    9.057558279198337685e-04
4.255998193609564564e-03    4.109449900204012289e-03
2.168413104879829759e-03    1.666574996567851338e-03
5.768886868959174560e-03    5.628926022016617070e-03
2.939398000819399420e-03    2.487126812779143995e-03
7.368563117399510969e-03    7.246673477439973324e-03
3.734960826172140091e-03    3.375128799781699877e-03
9.078909527624497502e-03    8.976187517392288789e-03
4.603876111900512963e-03    4.338608101933937727e-03
1.091580447223073833e-02    1.082579265635021971e-02
5.579907048072985098e-03    5.383142351090757644e-03
1.288598033517347231e-02    1.279804215988505564e-02
6.678521875673457120e-03    6.510123265659347423e-03
1.498805358322440572e-02    1.489049058388400640e-02
7.897974045418042904e-03    7.716046618496158645e-03
1.721474737687663306e-02    1.709717344267792580e-02
9.223080994956254358e-03    8.992655751947117859e-03
1.955555810518265492e-02    1.941034297869921599e-02
1.063007386321772330e-02    1.032771689330270679e-02
2.199907357099298300e-02    2.182189763108189143e-02
1.209127883868839001e-02    1.170618487774380961e-02
2.453472573610545465e-02    2.432441821178546112e-02
1.357891600533825405e-02    1.311155687594816113e-02
2.715376487952506079e-02    2.691164589990712591e-02
1.506774290834259414e-02    1.452722101581832917e-02
2.984975439365981573e-02    2.957869292940085507e-02
1.653657155254456557e-02    1.593763327155151704e-02
3.261850665529779369e-02    3.232187477059065422e-02
1.796887458364724785e-02    1.732922166851159906e-02
3.545774251276556654e-02    3.513840865581247669e-02
1.935272657354357786e-02    1.869094719047534672e-02
3.836668717915642929e-02    3.802615502297460037e-02
2.068030417856369860e-02    2.001449606080706392e-02
4.134546095929885617e-02    4.098324096726443239e-02
2.194720402108163784e-02    2.129420039944099688e-02
4.439458977774853737e-02    4.400786101222844970e-02
2.315171109792570417e-02    2.252673630304421332e-02
4.751436668165563704e-02    4.709796804516114266e-02
2.429421414720777175e-02    2.371078028236349097e-02
5.070441482040070197e-02    5.025116856768365586e-02
2.537679743159353477e-02    2.484666834983266862e-02
5.396321793620062479e-02    5.346455587054604192e-02
2.640307636505203823e-02    2.593617711270747306e-02
5.728781620307001748e-02    5.673463989618789810e-02
2.737818349097593043e-02    2.698238792859661977e-02
6.067364325205724940e-02    6.005731220213415128e-02
2.830879477856364582e-02    2.798959416340599665e-02
6.411456011420184342e-02    6.342787841091090950e-02
2.920304884300582368e-02    2.896316220800044042e-02
6.760309904571941420e-02    6.684115904952132869e-02
3.007020105530767637e-02    2.990922776404283251e-02
7.113083038030496019e-02    7.029159215513332282e-02
3.091997815842585304e-02    3.083421388710201605e-02
7.468895116024631964e-02    7.377346292922280779e-02
3.176161854367108572e-02    3.174413904608705539e-02
7.826880032378345786e-02    7.728103239295384952e-02
3.260278181069331538e-02    3.264384848056555571e-02
8.186242707387904327e-02    8.080874841258130215e-02
3.344848952134486797e-02    3.353627183240333320e-02
8.546294450770158813e-02    8.435134051274176259e-02
3.430040297504759195e-02    3.442193080152486373e-02
8.906469518324056089e-02    8.790386905169392251e-02
3.515658394252693664e-02    3.529878998191521289e-02
9.266317489577169386e-02    9.146169634715392571e-02
3.601188776654770662e-02    3.616256590334892412e-02
9.625473320301550229e-02    9.502038119699941776e-02
3.685892050972518208e-02    3.700744023449271947e-02
9.983612426241600390e-02    9.857552696590637931e-02
3.768940359648621785e-02    3.782706703868466552e-02
1.034040051413728789e-01    1.021226103943345259e-01
3.849566350022201600e-02    3.861567042242543268e-02
1.069544981904741593e-01    1.056568335736145503e-01
3.927192537919005355e-02    3.936900106751090728e-02
1.104829058092739180e-01    1.091730244639902286e-01
4.001515155339713248e-02    4.008496849337950252e-02
1.139836282017164665e-01    1.126655980203550705e-01
4.072524906885574558e-02    4.076381605802853469e-02
1.174503139450591427e-01    1.161286079440431440e-01
4.140463797587497219e-02    4.140783927500368139e-02
1.208761453117713075e-01    1.195558125295412694e-01
4.205731151852233618e-02    4.202073359082232618e-02
1.242542577535027254e-01    1.229408246880364097e-01
4.268760470326393719e-02    4.260671743677226647e-02
1.275781243565097534e-01    1.262772304029526060e-01
4.329897464368499815e-02    4.316964802630916809e-02
1.308418506257343628e-01    1.295586926043010012e-01
4.389301939224175830e-02    4.371226713754040871e-02
1.340403141711436763e-01    1.327790153055612710e-01
