叶型库11-PCA10维优化结果0.0249    叶型库11-KPCA10维优化结果0.0228
4.952927302518542185e-02    5.823940608119491935e-02
3.170441527755180067e-02    3.077086932579434914e-02
5.177389169374416178e-02    6.034358576866948737e-02
3.265625392874741545e-02    3.160859277608479151e-02
5.415066859327920951e-02    6.253992875913622074e-02
3.362698910452023571e-02    3.244083653906876252e-02
5.669030100458352650e-02    6.496925898754016271e-02
3.463163236851901639e-02    3.333332298173581620e-02
5.925214262172059237e-02    6.736618596030066741e-02
3.559098932712460167e-02    3.415448004466699328e-02
6.198389631818741752e-02    6.980132795607273122e-02
3.658456490882609768e-02    3.494082389851413395e-02
6.470137748996675209e-02    7.235188879990563093e-02
3.750866941829636425e-02    3.571829714680108125e-02
6.749655402452101050e-02    7.499580447052740795e-02
3.841390637374511585e-02    3.648034838211069997e-02
7.032330503035742753e-02    7.766806661236931586e-02
3.927599234443084064e-02    3.719337772249441121e-02
7.328666558083098137e-02    8.054313387699357785e-02
4.015863477257679282e-02    3.794234397551420751e-02
7.619797767184824377e-02    8.329763152649349855e-02
4.095257689056593098e-02    3.857275869231253929e-02
7.910772617295415421e-02    8.609619554586311896e-02
4.169875833941420751e-02    3.916589851856829008e-02
8.202105001147566576e-02    8.891819687986242393e-02
4.240603664904940562e-02    3.971550309738471063e-02
8.512359741202064900e-02    9.188411076516830867e-02
4.317213716511066057e-02    4.027790652369166169e-02
8.802101611897517053e-02    9.472566704329761500e-02
4.381020072596713416e-02    4.074292118006483249e-02
9.090294847976562731e-02    9.755244006677182833e-02
4.441989498697712646e-02    4.117012333191226447e-02
9.375889430271266978e-02    1.003556559256274239e-01
4.500130108747486812e-02    4.156092783571629923e-02
9.659513313255913003e-02    1.031179691535278609e-01
4.556176672026788360e-02    4.191398317079973734e-02
9.949677541447113360e-02    1.060337950221751646e-01
4.615206119290305581e-02    4.231660710639822964e-02
1.022162136756834538e-01    1.087171771955622729e-01
4.664946658755486641e-02    4.261204740308507932e-02
1.048919641603072439e-01    1.113791027234512371e-01
4.712913565623133572e-02    4.289612080909055436e-02
1.074721642439911556e-01    1.139433928802269930e-01
4.757157798689957973e-02    4.314135432592881847e-02
1.100875925679659084e-01    1.164421013649406533e-01
4.804028321193362649e-02    4.336883066450970825e-02
1.124956700733265730e-01    1.188643679315562474e-01
4.843152734691677508e-02    4.357760566420494641e-02
1.149029808273119291e-01    1.213643602637464736e-01
4.884308507811046390e-02    4.383420237546904741e-02
1.165775414502152746e-01    1.232079016191185289e-01
4.919656951862964867e-02    4.402498087173303820e-02
1.176590370948867870e-01    1.246175441710842408e-01
4.954002766402126889e-02    4.422389917370829482e-02
1.187349587262135353e-01    1.260128399423054157e-01
4.988638307705559050e-02    4.442353356349362792e-02
1.199448225245919597e-01    1.275839126545561808e-01
5.029984931253041192e-02    4.469892936069760209e-02
1.210054745809235610e-01    1.289442483850663512e-01
5.064904886426616071e-02    4.489839640513592495e-02
1.220564234642420171e-01    1.302847989087132508e-01
5.099850804845261487e-02    4.509755040494020650e-02
1.232102595056287220e-01    1.316234895305712360e-01
5.139359479050670254e-02    4.530449209974983515e-02
1.242578816471137937e-01    1.329539281557626795e-01
5.174851806973033985e-02    4.551549088888338923e-02
1.252837866256039379e-01    1.342236812161545778e-01
5.209690125948879952e-02    4.571130697434777623e-02
1.262812339623931857e-01    1.354688616352900943e-01
5.243653126523705604e-02    4.590596917183067949e-02
1.273507663086257680e-01    1.368286957459151076e-01
5.280599474958160705e-02    4.614701191213303744e-02
1.283127367185119549e-01    1.380120705611595500e-01
5.313452601441748246e-02    4.633599102785615487e-02
1.293845959102359888e-01    1.393338652187113280e-01
5.351104638180693984e-02    4.658405318445248827e-02
1.303048958646772504e-01    1.404468272970020304e-01
5.382376108917037022e-02    4.676566310845889363e-02
1.312995545618545756e-01    1.415466012509339344e-01
5.416426269778156638e-02    4.695428553098671132e-02
